num	title	chapter	pdf_page	pages	level
2.1	Installation and Authorization	2	23	1	1
2.2	Learning About Live	2	23	1	1
2.2.1	Learn View	2	23	5	2
2.2.2	Info View	2	28	1	2
2.2.3	Other Learning Resources	2	29	1	2
2.3	Live’s Settings	2	30	1	1
2.3.1	Display & Input	2	30	1	2
2.3.2	Theme & Colors	2	30	1	2
2.3.3	Audio	2	31	1	2
2.3.4	Link	2	31	1	2
2.3.5	Tempo & MIDI	2	31	1	2
2.3.6	File & Folder	2	32	1	2
2.3.7	Library	2	32	1	2
2.3.8	Plug-Ins	2	32	1	2
2.3.9	Record, Warp & Launch	2	32	1	2
2.3.10	Licenses & Updates	2	32	1	2
3.1	The Control Bar	3	33	1	1
3.2	The Status Bar	3	34	1	1
3.3	The Browser	3	35	1	1
3.4	Sound Similarity	3	36	2	1
3.5	Live Sets	3	38	1	1
3.6	Arrangement and Session	3	38	2	1
3.7	Tracks	3	40	3	1
3.8	Audio and MIDI	3	43	1	1
3.9	Audio Clips and Samples	3	44	1	1
3.10	MIDI Clips and MIDI Files	3	45	1	1
3.11	Devices	3	46	2	1
3.12	Clip and Device View	3	48	1	1
3.13	Scale Awareness	3	49	2	1
3.14	The Mixer	3	51	3	1
3.15	Presets and Racks	3	54	1	1
3.16	Routing	3	54	1	1
3.17	Recording New Clips	3	55	2	1
3.18	Automation Envelopes	3	57	1	1
3.19	Clip Envelopes	3	57	1	1
3.20	MIDI and Key Remote	3	58	1	1
3.21	Saving and Exporting	3	58	2	1
4.1	Content Pane	4	62	1	1
4.2	Search Bar	4	63	3	1
4.2.1	Saving Search Results as Custom Labels	4	66	3	2
4.3	Browser History	4	69	1	1
4.4	Filters and Tags	4	70	1	1
4.4.1	Filter Groups	4	71	1	2
4.4.2	Tags	4	72	1	2
4.4.3	Tag Editor	4	73	4	2
4.4.4	Quick Tags	4	77	2	2
4.5	Collections	4	79	2	1
4.6	Library	4	81	2	1
4.7	Places	4	83	1	1
4.7.1	Downloading and Installing Packs in the Browser	4	84	4	2
4.7.2	Pack Info	4	88	1	2
4.7.3	Splice	4	89	2	2
4.7.4	Using Ableton Cloud	4	103	2	2
4.7.5	Transferring Files from Push 3 in Standalone Mode	4	105	3	2
4.7.6	User Library	4	108	1	2
4.7.7	Current Project	4	111	2	2
4.7.8	User Folders	4	113	2	2
4.8	Navigating in the Browser	4	115	1	1
4.9	Previewing Files	4	115	3	1
4.10	Adding Content from the Browser to a Live Set	4	118	2	1
5.1	Sample Files	5	120	1	1
5.1.1	The Decoding Cache	5	120	1	2
5.1.2	Analysis Files (.asd)	5	121	1	2
5.1.3	Exporting Audio and Video	5	122	1	2
5.2	MIDI Files	5	128	1	1
5.2.1	Exporting MIDI Files	5	128	1	2
5.3	Live Clips	5	129	1	1
5.4	Live Sets	5	130	1	1
5.4.1	Creating, Opening and Saving Sets	5	130	1	2
5.4.2	Accessing a Set’s Undo History	5	130	1	2
5.4.3	Merging Sets	5	131	3	2
5.4.4	Exporting Session Clips as New Sets	5	134	1	2
5.4.5	Template Sets	5	134	1	2
5.4.6	Viewing and Changing a Live Set’s File References	5	135	2	2
5.5	Live Projects	5	137	1	1
5.5.1	Projects and Live Sets	5	137	4	2
5.5.2	Projects and Presets	5	141	1	2
5.5.3	Managing Files in a Project	5	142	1	2
5.6	Locating Missing Files	5	142	1	1
5.6.1	Manual Repair	5	143	1	2
5.6.2	Automatic Repair	5	143	2	2
5.7	Collecting External Files	5	145	2	1
5.7.1	Collect Files on Export	5	147	1	2
5.7.2	Aggregated Locating and Collecting	5	148	2	2
5.8	Finding Unused Files	5	150	4	1
5.9	Packing Projects into Packs	5	154	4	1
5.10	File Management FAQs	5	158	1	1
5.10.1	How Do I Create a Project?	5	158	1	2
5.10.2	How Can I Save Presets Into My Current Project?	5	158	1	2
5.10.3	Can I Work On Multiple Versions of a Set?	5	158	1	2
5.10.4	Where Should I Save My Live Sets?	5	158	1	2
5.10.5	Can I Use My Own Folder Structure Within a Project Folder?	5	158	2	2
6.1	Layout	6	160	3	1
6.2	Navigation and Zooming	6	163	1	1
6.3	Transport and Playback	6	163	2	1
6.4	Launching the Arrangement with Locators	6	165	2	1
