tick,tubes_alive,probes_alive,used_length,spawned,pruned,mean_flux
0,2,0,0.672,0,0,0.0
1,2,1,0.672,0,0,0.0
2,2,1,0.672,0,0,0.0
3,2,2,0.672,0,0,0.0
4,2,2,0.672,0,0,0.0
5,2,2,0.672,0,0,0.0
6,2,2,0.672,0,0,0.0
7,2,2,0.672,0,0,0.0
8,2,2,0.672,0,0,0.0
9,2,2,0.672,0,0,0.0
10,2,2,0.672,0,0,0.0
11,2,2,0.672,0,0,0.0
12,2,2,0.672,0,0,0.0
13,2,2,0.672,0,0,0.0
14,2,2,0.672,0,0,0.0
15,2,2,0.672,0,0,0.0
16,2,2,0.672,0,0,0.0
17,2,2,0.672,0,0,0.0
18,3,0,0.672,1,0,0.0
19,3,0,1.089,1,0,0.0
20,3,1,1.089,1,0,0.0
21,3,1,1.089,1,0,0.0
22,3,2,1.089,1,0,0.0
23,3,3,1.089,1,0,0.0
24,3,3,1.089,1,0,0.0
25,3,3,1.089,1,0,0.0
26,3,3,1.089,1,0,0.0
27,3,3,1.089,1,0,0.0
28,3,3,1.089,1,0,0.0
29,3,3,1.089,1,0,0.0
30,3,3,1.089,1,0,0.00838
31,3,3,1.089,1,0,0.01116
32,3,3,1.089,1,0,0.00879
33,3,2,1.089,1,0,0.00732
34,3,2,1.089,1,0,0.00636
35,3,2,1.089,1,0,0.005
36,3,1,1.089,1,0,0.00416
37,3,1,1.089,1,0,0.00362
38,3,2,1.089,1,0,0.00284
39,3,2,1.089,1,0,0.00237
40,3,2,1.089,1,0,0.01165
41,4,1,1.089,2,0,0.00869
42,4,1,1.541,2,0,0.00805
43,4,1,1.541,2,0,0.00731
44,4,1,1.541,2,0,0.00593
45,4,1,1.541,2,0,0.00483
46,4,1,1.541,2,0,0.00415
47,4,1,1.541,2,0,0.00331
48,4,1,1.541,2,0,0.00207
49,4,1,1.541,2,0,0.00113
50,4,2,1.541,2,0,0.00108
51,3,2,1.123,2,1,0.00222
52,3,2,1.123,2,1,0.00249
53,3,2,1.123,2,1,0.00273
54,3,2,1.123,2,1,0.00292
55,3,2,1.123,2,1,0.00271
56,3,2,1.123,2,1,0.00261
57,3,3,1.123,2,1,0.00274
58,3,3,1.123,2,1,0.00285
59,3,3,1.123,2,1,0.00316
60,3,3,1.123,2,1,0.00337
61,3,2,1.123,2,1,0.00325
62,3,2,1.123,2,1,0.00317
63,2,3,0.672,2,2,0.0045
64,2,3,0.672,2,2,0.00379
65,2,3,0.672,2,2,0.00249
66,2,3,0.672,2,2,0.00147
67,3,2,0.672,3,2,0.00071
68,3,2,1.089,3,2,0.00056
69,3,2,1.089,3,2,0.00044
70,3,2,1.089,3,2,0.00064
71,3,2,1.089,3,2,0.00134
72,3,2,1.089,3,2,0.00173
73,3,2,1.089,3,2,0.00205
74,3,2,1.089,3,2,0.00228
75,3,2,1.089,3,2,0.00236
76,3,2,1.089,3,2,0.00253
77,3,2,1.089,3,2,0.00239
78,3,2,1.089,3,2,0.00228
79,3,2,1.089,3,2,0.00222
80,3,1,1.089,3,2,0.00214
81,3,1,1.089,3,2,0.00176
82,4,0,1.089,4,2,0.00087
83,4,0,1.361,4,2,0.0006
84,4,0,1.361,4,2,0.00046
85,4,0,1.361,4,2,0.00036
86,4,0,1.361,4,2,0.00028
87,4,0,1.361,4,2,0.00021
88,4,0,1.361,4,2,0.00016
89,3,0,0.944,4,3,0.00016
90,3,0,0.944,4,3,0.0003
91,3,0,0.944,4,3,0.00085
92,3,1,0.944,4,3,0.05668
93,3,1,0.944,4,3,0.05342
94,3,1,0.944,4,3,0.04437
95,3,2,0.944,4,3,0.0372
96,3,2,0.944,4,3,0.0321
97,3,2,0.944,4,3,0.02617
98,3,3,0.944,4,3,0.02159
99,3,3,0.944,4,3,0.01842
100,3,3,0.944,4,3,0.01498
101,3,3,0.944,4,3,0.01231
102,3,3,0.944,4,3,0.0106
103,3,3,0.944,4,3,0.00864
104,2,3,0.672,4,4,0.01063
105,2,3,0.672,4,4,0.00916
106,2,3,0.672,4,4,0.00742
107,2,3,0.672,4,4,0.00619
108,3,2,0.672,5,4,0.00364
109,3,2,1.089,5,4,0.00301
110,3,2,1.089,5,4,0.00262
111,3,2,1.089,5,4,0.00239
112,3,2,1.089,5,4,0.03942
113,3,2,1.089,5,4,0.03632
114,3,2,1.089,5,4,0.03092
115,3,2,1.089,5,4,0.02664
116,3,3,1.089,5,4,0.02153
117,3,3,1.089,5,4,0.01777
118,3,2,1.089,5,4,0.01528
119,3,2,1.089,5,4,0.01237
120,3,2,1.089,5,4,0.01029
121,3,1,1.089,5,4,0.00877
122,3,1,1.089,5,4,0.0071
123,3,1,1.089,5,4,0.00597
124,2,1,0.785,5,5,0.00756
125,2,1,0.785,5,5,0.00613
126,2,2,0.785,5,5,0.00519
127,2,2,0.785,5,5,0.00435
128,2,2,0.785,5,5,0.00353
129,2,2,0.785,5,5,0.003
130,1,2,0.367,5,6,0.00508
131,1,2,0.367,5,6,0.00432
132,1,2,0.367,5,6,0.08359
133,1,2,0.367,5,6,0.07597
134,1,3,0.367,5,6,0.06613
135,1,3,0.367,5,6,0.05771
136,1,3,0.367,5,6,0.04532
137,1,3,0.367,5,6,0.03804
138,1,3,0.367,5,6,0.03334
139,1,2,0.367,5,6,0.02613
140,1,3,0.367,5,6,0.02192
141,1,3,0.367,5,6,0.01926
142,1,3,0.367,5,6,0.01504
143,1,3,0.367,5,6,0.01267
144,1,3,0.367,5,6,0.01111
145,1,3,0.367,5,6,0.00866
146,1,3,0.367,5,6,0.00734
147,1,3,0.367,5,6,0.0064
148,1,3,0.367,5,6,0.00499
149,1,2,0.367,5,6,0.00425
150,1,2,0.367,5,6,0.00372
151,1,2,0.367,5,6,0.00307
152,2,1,0.367,6,6,0.02939
153,2,1,0.785,6,6,0.02704
154,2,1,0.785,6,6,0.02322
155,2,2,0.785,6,6,0.02012
156,2,2,0.785,6,6,0.01597
157,3,1,0.785,7,6,0.00878
158,3,1,1.236,7,6,0.00762
159,3,1,1.236,7,6,0.00607
160,3,1,1.236,7,6,0.00498
161,3,1,1.236,7,6,0.00434
162,3,1,1.236,7,6,0.00345
163,3,1,1.236,7,6,0.00283
164,3,1,1.236,7,6,0.00247
165,3,1,1.236,7,6,0.00195
166,3,1,1.236,7,6,0.00162
167,3,1,1.236,7,6,0.00141
168,3,1,1.236,7,6,0.0011
169,3,1,1.236,7,6,0.05166
