# w_over_pi  magnitude_dB
0.000000 0.0000
0.001953 0.0007
0.003906 0.0027
0.005859 0.0061
0.007812 0.0108
0.009766 0.0170
0.011719 0.0244
0.013672 0.0333
0.015625 0.0435
0.017578 0.0550
0.019531 0.0680
0.021484 0.0823
0.023438 0.0980
0.025391 0.1152
0.027344 0.1337
0.029297 0.1536
0.031250 0.1750
0.033203 0.1977
0.035156 0.2219
0.037109 0.2476
0.039062 0.2747
0.041016 0.3032
0.042969 0.3333
0.044922 0.3648
0.046875 0.3979
0.048828 0.4324
0.050781 0.4685
0.052734 0.5061
0.054688 0.5453
0.056641 0.5860
0.058594 0.6284
0.060547 0.6723
0.062500 0.7179
0.064453 0.7651
0.066406 0.8139
0.068359 0.8645
0.070312 0.9167
0.072266 0.9707
0.074219 1.0263
0.076172 1.0838
0.078125 1.1430
0.080078 1.2040
0.082031 1.2668
0.083984 1.3315
0.085938 1.3980
0.087891 1.4665
0.089844 1.5368
0.091797 1.6090
0.093750 1.6832
0.095703 1.7594
0.097656 1.8375
0.099609 1.9176
0.101562 1.9998
0.103516 2.0840
0.105469 2.1702
0.107422 2.2585
0.109375 2.3489
0.111328 2.4413
0.113281 2.5358
0.115234 2.6324
0.117188 2.7311
0.119141 2.8318
0.121094 2.9346
0.123047 3.0394
0.125000 3.1462
0.126953 3.2549
0.128906 3.3655
0.130859 3.4779
0.132812 3.5921
0.134766 3.7080
0.136719 3.8253
0.138672 3.9441
0.140625 4.0642
0.142578 4.1853
0.144531 4.3073
0.146484 4.4300
0.148438 4.5530
0.150391 4.6761
0.152344 4.7990
0.154297 4.9212
0.156250 5.0424
0.158203 5.1620
0.160156 5.2795
0.162109 5.3943
0.164062 5.5059
0.166016 5.6135
0.167969 5.7164
0.169922 5.8138
0.171875 5.9049
0.173828 5.9887
0.175781 6.0646
0.177734 6.1314
0.179688 6.1884
0.181641 6.2346
0.183594 6.2693
0.185547 6.2915
0.187500 6.3007
0.189453 6.2961
0.191406 6.2774
0.193359 6.2442
0.195312 6.1962
0.197266 6.1333
0.199219 6.0557
0.201172 5.9636
0.203125 5.8574
0.205078 5.7376
0.207031 5.6048
0.208984 5.4597
0.210938 5.3031
0.212891 5.1359
0.214844 4.9589
0.216797 4.7731
0.218750 4.5793
0.220703 4.3784
0.222656 4.1713
0.224609 3.9587
0.226562 3.7416
0.228516 3.5205
0.230469 3.2961
0.232422 3.0691
0.234375 2.8401
0.236328 2.6094
0.238281 2.3777
0.240234 2.1453
0.242188 1.9126
0.244141 1.6800
0.246094 1.4476
0.248047 1.2158
0.250000 0.9848
0.251953 0.7547
0.253906 0.5259
0.255859 0.2983
0.257812 0.0721
0.259766 -0.1526
0.261719 -0.3756
0.263672 -0.5970
0.265625 -0.8167
0.267578 -1.0345
0.269531 -1.2506
0.271484 -1.4649
0.273438 -1.6772
0.275391 -1.8878
0.277344 -2.0964
0.279297 -2.3032
0.281250 -2.5081
0.283203 -2.7112
0.285156 -2.9124
0.287109 -3.1118
0.289062 -3.3094
0.291016 -3.5052
0.292969 -3.6992
0.294922 -3.8915
0.296875 -4.0821
0.298828 -4.2710
0.300781 -4.4582
0.302734 -4.6438
0.304688 -4.8278
0.306641 -5.0102
0.308594 -5.1910
0.310547 -5.3703
0.312500 -5.5482
0.314453 -5.7245
0.316406 -5.8994
0.318359 -6.0729
0.320312 -6.2450
0.322266 -6.4157
0.324219 -6.5852
0.326172 -6.7533
0.328125 -6.9201
0.330078 -7.0857
0.332031 -7.2500
0.333984 -7.4131
0.335938 -7.5751
0.337891 -7.7359
0.339844 -7.8956
0.341797 -8.0541
0.343750 -8.2116
0.345703 -8.3680
0.347656 -8.5234
0.349609 -8.6777
0.351562 -8.8311
0.353516 -8.9835
0.355469 -9.1349
0.357422 -9.2854
0.359375 -9.4350
0.361328 -9.5836
0.363281 -9.7314
0.365234 -9.8784
0.367188 -10.0244
0.369141 -10.1697
0.371094 -10.3142
0.373047 -10.4578
0.375000 -10.6007
0.376953 -10.7428
0.378906 -10.8842
0.380859 -11.0249
